sep=	
Project Name:	C:\SharedFolder\CControl_Lite\PLC\CControl_Lite.plcprj
Export Date/Time:	2026/06/18 13:59:45
RowType	Name	Type	ElementType	Dimensions	InitialValue	RetentiveEnabled	FolderName	BindType	BindObject	BindField	BindIsArray	BindValue	BindDirection	BindConverter	HasInputRange	MinValue	MaxValue	Target	Source	AddressEnabled	Address	HasBinding	VariableLength	NumberOfBytes	StringEncode	HasAlarm	AlarmType	HiHiThresholdState	HiHiThreshold	HiHiThresholdValue	HiHiThresholdDeadBand	HiHiThresholdAlarmGroup	HiHiThresholdMessageMode	HiHiThresholdMessage	HiHiThresholdSeverity	HiHiThresholdParameter	HiThresholdState	HiThreshold	HiThresholdValue	HiThresholdDeadBand	HiThresholdAlarmGroup	HiThresholdMessageMode	HiThresholdMessage	HiThresholdSeverity	HiThresholdParameter	LoThresholdState	LoThreshold	LoThresholdValue	LoThresholdDeadBand	LoThresholdAlarmGroup	LoThresholdMessageMode	LoThresholdMessage	LoThresholdSeverity	LoThresholdParameter	LoloThresholdState	LoloThreshold	LoloThresholdValue	LoloThresholdDeadBand	LoloThresholdAlarmGroup	LoloThresholdMessageMode	LoloThresholdMessage	LoloThresholdSeverity	LoloThresholdParameter	ThresholdState	ThresholdType	ThresholdCondition	ThresholdAlarmGroup	ThresholdMessageMode	ThresholdMessage	ThresholdSeverity	ThresholdParameter	DataSharing	LoggingGroup	Comments	
Variable	CControl_Lite_Sensoren_AbluftFeuchtMessberMin	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416400"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_AbluftFeuchtMessberMax	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416402"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_TrockenlTempMessberMin	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416404"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_TrockenlTempMessberMax	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416406"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_TrockenlFeuchtMessberMin	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416408"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_TrockenlFeuchtMessberMax	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416410"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetFrischluftTemp	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416412"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetFrischluftFeuchte	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416414"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetAbluftBox1Temp	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416416"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_OffsetAbluftBox1Feuchte	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416418"	False	False										Direct									Direct									Direct									Direct									Direct			None		
